experiment_id,scenario_id,scenario_label,strategy_id,strategy_label,strategy_group,replication_strategy,capacity_per_rank_per_layer,average_replicas_per_expert,initial_replication_us,migration_network_us,cold_start_storage_us,all2allv_us,total_steady_state_us,total_including_initialization_us,initial_replication_bytes,network_repair_bytes,all2allv_bytes,cold_start_bytes,speedup_vs_control_steady,speedup_vs_control_total_including_init,steady_state_delta_vs_control_us,cold_start_bytes_avoided_vs_control,ft_tax_steady_ratio,ft_tax_total_including_init_ratio,steps,warnings
round_robin_node_failure__adaptive_mro_avg8,round_robin_node_failure,Round-robin node failure,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,17064513.051224,0.000000,824.994133,17065338.045357,24277863.203757,5798205849600.000000,5591594434560.000000,1527490560.000000,0.000000,14.496939,10.190154,-230329823.094591,773094113280.000000,21360.304859,3.365697,799,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
hotspot_rank_repeated_failure__control_single_owner,hotspot_rank_repeated_failure,Repeated rank-0 failure,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,92771293.593600,5551.834638,92776845.428238,92776845.428238,0.000000,0.000000,1885102080.000000,289910292480.000000,1.000000,1.000000,0.000000,0.000000,10658.373482,10658.373482,817,
hotspot_rank_repeated_failure__uniform_fixed_2,hotspot_rank_repeated_failure,Repeated rank-0 failure,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,11596411.699200,0.000000,7406.518015,11603818.217215,12570185.858815,1352914698240.000000,579820584960.000000,1760317440.000000,0.000000,7.995372,7.380706,-81173027.211023,289910292480.000000,1584.659368,12.909841,817,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
hotspot_rank_repeated_failure__adaptive_mro_avg3,hotspot_rank_repeated_failure,Repeated rank-0 failure,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,17394617.548800,0.000000,12011.520000,17406629.068800,20123014.852678,2153691217920.000000,869730877440.000000,1748561920.000000,0.000000,5.329972,4.610484,-75370216.359438,289910292480.000000,1452.057916,7.375462,817,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
hotspot_rank_repeated_failure__adaptive_mro_avg4,hotspot_rank_repeated_failure,Repeated rank-0 failure,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,23192823.398400,0.000000,1294.098611,23194117.497011,26682980.112250,2892811468800.000000,1159641169920.000000,1552261120.000000,0.000000,4.000016,3.477005,-69582727.931227,289910292480.000000,18882.780888,7.645354,817,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
hotspot_rank_repeated_failure__adaptive_mro_avg6,hotspot_rank_repeated_failure,Repeated rank-0 failure,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,22437848.678400,0.000000,899.009093,22438747.687493,27809134.529093,4352429260800.000000,1322715709440.000000,1530992640.000000,0.000000,4.134671,3.336200,-70338097.740745,289910292480.000000,26195.003359,5.177411,817,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
hotspot_rank_repeated_failure__adaptive_mro_avg8,hotspot_rank_repeated_failure,Repeated rank-0 failure,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,21078894.182400,0.000000,823.708444,21079717.890844,28292243.049244,5798205849600.000000,1508439490560.000000,1522862080.000000,0.000000,4.401238,3.279233,-71697127.537394,289910292480.000000,26385.015010,3.922220,817,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
armageddon_two_node_low_band__control_single_owner,armageddon_two_node_low_band,Armageddon two-node low-band,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,123695058.124800,7168.239212,123702226.364012,123702226.364012,0.000000,0.000000,1885102080.000000,386547056640.000000,1.000000,1.000000,0.000000,0.000000,14211.137736,14211.137736,775,
armageddon_two_node_low_band__uniform_fixed_2,armageddon_two_node_low_band,Armageddon two-node low-band,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,1932735.283200,123695058.124800,6779.099926,125634572.507926,126600940.149526,1352914698240.000000,386547056640.000000,1760317440.000000,386547056640.000000,0.984619,0.977104,1932346.143914,0.000000,17157.111441,130.021783,775,
armageddon_two_node_low_band__adaptive_mro_avg3,armageddon_two_node_low_band,Armageddon two-node low-band,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,1055993.817274,61847529.062400,11987.899733,62915510.779408,65631896.563285,2153691217920.000000,880552181760.000000,1748561920.000000,193273528320.000000,1.966164,1.884788,-60786715.584604,193273528320.000000,5248.400774,24.055321,774,
armageddon_two_node_low_band__adaptive_mro_avg4,armageddon_two_node_low_band,Armageddon two-node low-band,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,1678692.566264,0.000000,1332.120530,1680024.686793,5168887.302032,2892811468800.000000,1366504243200.000000,1552261120.000000,0.000000,73.631196,23.932080,-122022201.677218,386547056640.000000,1367.740680,1.481018,969,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
armageddon_two_node_low_band__adaptive_mro_avg6,armageddon_two_node_low_band,Armageddon two-node low-band,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,3135661.670400,0.000000,994.684827,3136656.355227,8507043.196827,4352429260800.000000,2084988518400.000000,1534279680.000000,0.000000,39.437609,14.541154,-120565570.008785,386547056640.000000,3661.733930,1.583813,969,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
armageddon_two_node_low_band__adaptive_mro_avg8,armageddon_two_node_low_band,Armageddon two-node low-band,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,4630511.616000,0.000000,959.729778,4631471.345778,11843996.504178,5798205849600.000000,2769750589440.000000,1527490560.000000,0.000000,26.709056,10.444298,-119070755.018234,386547056640.000000,5797.109886,1.641961,969,No cold-start byte annotations found in timeline; Toposim will account for network migration matrices only. This is expected if Traffic Gen has not annotated lost-replica experts yet.
armageddon_two_node_high_band__control_single_owner,armageddon_two_node_high_band,Armageddon two-node high-band,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,123695058.124800,8396.453933,123703454.578733,123703454.578733,0.000000,0.000000,1885102080.000000,386547056640.000000,1.000000,1.000000,0.000000,0.000000,14211.278836,14211.278836,773,
armageddon_two_node_high_band__uniform_fixed_2,armageddon_two_node_high_band,Armageddon two-node high-band,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,1932735.283200,123695058.124800,7101.099476,125634894.507476,126601262.149076,1352914698240.000000,386547056640.000000,1760317440.000000,386547056640.000000,0.984627,0.977111,1931439.928744,0.000000,17157.155415,130.022113,773,
