scenario,placement,scaleout_gbps,n,serviceable_rate,mean_benefit_network_vs_lake,mean_benefit_network_vs_rerun,mean_repair_source_speedup_vs_lake,mean_break_even_storage_gbps,mean_ft_tax,mean_stalled_request_pct_max,mean_T_network_repair_path,mean_T_data_lake_path,mean_T_request_rerun_path,mean_network_repair_us,mean_data_lake_reload_us,mean_recovery_bytes,network_repair_win_rate
node1_fail_join,lazarus,100.0,80,1.0,49.79723657403644,0.1678964104477014,51.317953535781875,400.0605357628741,2134.671096773935,25.0,15090383.802600574,756730330.7997167,2138536.9104367993,14711846.892163774,756351793.8892801,739535486976.0,0.0
node1_fail_join,lazarus,400.0,72,1.0,185.5560380938733,0.5407338283369572,202.43410758197467,1610.271310311162,2165.747932361491,25.0,4063675.553358824,761935350.2151352,1926439.6597067018,3737235.893652122,761608910.5554286,757281587200.0,0.16666666666666666
node1_fail_join,lazarus,800.0,72,1.0,348.2912852757252,0.9908416336377405,404.86821516394934,3220.5426206223237,1681.2435069841363,25.0,2192116.4558421616,761932409.0644447,1923498.5090161003,1868617.9468260615,761608910.5554286,757281587200.0,0.5
node1_fail_join,uniform,100.0,32,1.0,50.41744391725556,0.26954368940337176,53.0,400.0,2836.9654468897706,25.0,9146966.91483971,469276016.83666825,2449658.140439709,8697308.7744,468826358.69622856,434865438720.0,0.0
node1_fail_join,uniform,400.0,21,1.0,196.34839967304774,0.8101545468049323,225.3061224489796,1600.0,248.6985245842702,25.0,2250315.5128192194,435774672.60774165,1841389.753428743,1932735.2832,435457092.37812245,386547056640.0,0.47619047619047616
node1_fail_join,uniform,800.0,12,1.0,321.46004935771526,1.5236187196763489,402.2857142857143,3200.0,409.6603194016309,25.0,1289512.428914155,389079041.7509713,1923144.7873141551,966367.6416000001,388755896.96365714,386547056640.0,0.5
rank4_fail_join,lazarus,100.0,80,1.0,14.060827021378094,0.04964589318352688,14.198578326752065,110.78414578098234,1699.274551563558,6.25,12514624.958032217,178468422.35304934,554920.1567522169,12399704.80128,178353502.19629714,174210416640.0,0.0
rank4_fail_join,lazarus,400.0,72,1.0,54.73785495834346,0.16543380153873988,56.311141769691716,447.92953680436597,1661.8935160283577,6.25,3208757.0907595595,178561582.3031024,486517.1931595595,3122239.8976000003,178475065.10994285,177461002240.0,0.0
rank4_fail_join,lazarus,800.0,72,1.0,106.85610990652604,0.3180018636441615,112.62228353938345,895.8590736087319,1255.5508783774558,6.25,1644635.033723278,178558580.19486612,483515.084923278,1561119.9488,178475065.10994285,177461002240.0,0.0
rank4_fail_join,uniform,100.0,80,1.0,20.111681771945815,0.05911003747888601,20.385714285714286,160.0,8042.597119667318,6.25,10557968.516945349,192787295.2186596,561197.9876653488,10436770.52928,192666097.23099428,188441690112.0,0.0
rank4_fail_join,uniform,400.0,72,1.0,80.58569447053577,0.20178235999304894,83.8095238095238,666.6666666666666,2100.0297143636367,6.25,2665552.0785797974,194466520.18280837,488571.70097979746,2576980.3776000002,194377948.48182857,193273528320.0,0.0
rank4_fail_join,uniform,800.0,72,1.0,156.18387850639678,0.38506792363180575,167.6190476190476,1333.3333333333333,1158.3448696027394,6.25,1372955.072405365,194462413.36543393,484464.88360536494,1288490.1888000001,194377948.48182857,193273528320.0,0.0
