scenario,placement,decode_steps_effective,n,serviceable_rate,mean_benefit_network_vs_lake,mean_benefit_network_vs_rerun,mean_repair_source_speedup_vs_lake,mean_break_even_storage_gbps,mean_ft_tax,mean_stalled_request_pct_max,mean_T_network_repair_path,mean_T_data_lake_path,mean_T_request_rerun_path,mean_network_repair_us,mean_data_lake_reload_us,mean_recovery_bytes,network_repair_win_rate
node1_fail_join,lazarus,32,112,1.0,191.85169977399104,0.556566040752747,216.18989181724254,1716.7644899826794,3171.6166432185096,25.0,7276634.223453819,758319269.7173817,1994119.812402195,6939657.268194481,757982292.7621224,749204556068.5714,0.21428571428571427
node1_fail_join,lazarus,128,112,1.0,186.9053199450626,0.5479441922650595,210.87442533069566,1674.5162768766145,826.214351199347,25.0,7523791.927175796,761831668.9621459,2008366.80351732,7172567.980801334,761480445.0157715,752682832457.1428,0.21428571428571427
node1_fail_join,uniform,32,40,1.0,169.39195814363285,0.8188429386078168,202.22857142857146,1600.0,2025.6531885663906,25.0,4712457.967481968,421147885.2369677,2123803.5802819673,4348654.3872,420784081.6566857,405874409472.0,0.3
node1_fail_join,uniform,128,25,1.0,112.74067460133797,0.4467340254245996,126.62857142857143,832.0,795.814384276252,25.0,6677415.899670619,479645350.20275635,2207353.5821026186,6262062.3175679995,479229996.6206537,417470821171.2,0.16
rank4_fail_join,lazarus,32,112,1.0,56.27849224376829,0.1713850136600691,58.57136452907523,465.1374775851763,2477.3382191381825,6.25,6046054.829798925,176771069.04432955,502781.1017989247,5957559.442285715,176682573.65681633,174560940617.14285,0.0
rank4_fail_join,lazarus,128,112,1.0,57.64679018463217,0.17485640908860098,60.170536260153135,477.8581618096597,611.9292855252389,6.25,6013000.79167734,180283622.8136855,517182.61750591156,5910103.888457143,180180725.9104653,178039217005.7143,0.0
rank4_fail_join,uniform,32,112,1.0,83.49137985126283,0.20802276267974773,88.09693877551021,700.0,6194.277975191207,6.25,5060018.519064866,193856700.8259383,504413.5051220095,4969890.728228571,193766573.03510204,191547871817.14285,0.0
rank4_fail_join,uniform,128,112,1.0,83.08311832815511,0.21145958927829173,88.09693877551021,700.0,1645.1036285495495,6.25,5077570.732957987,193874253.03983143,521965.7190151297,4969890.728228571,193766573.03510204,191547871817.14285,0.0
