scenario,placement,n,serviceable_rate,mean_benefit_network_vs_lake,mean_benefit_network_vs_rerun,mean_repair_source_speedup_vs_lake,mean_break_even_storage_gbps,mean_ft_tax,mean_stalled_request_pct_max,mean_T_network_repair_path,mean_T_data_lake_path,mean_T_request_rerun_path,mean_network_repair_us,mean_data_lake_reload_us,mean_recovery_bytes,network_repair_win_rate
node1_fail_join,lazarus,224,1.0,189.37850985952682,0.5522551165089032,213.5321585739691,1695.640383429647,1998.9154972089284,25.0,7400213.075314807,760075469.3397638,2001243.3079597575,7056112.624497906,759731368.8889469,750943694262.8572,0.21428571428571427
node1_fail_join,uniform,65,1.0,147.6030029350579,0.6757241258450409,173.15164835164836,1304.6153846153845,1552.6382638394139,25.0,5468211.018323756,443646910.2238095,2155938.196366833,5084580.514264614,443263279.71975034,410334567817.8461,0.24615384615384617
rank4_fail_join,lazarus,224,1.0,56.96264121420023,0.17312071137433507,59.370950394614184,471.49781969741804,1544.6337523317106,6.25,6029527.810738132,178527345.92900753,509981.8596524181,5933831.665371428,178431649.78364083,176300078811.42856,0.0
rank4_fail_join,uniform,224,1.0,83.28724908970898,0.20974117597901973,88.09693877551021,700.0,3919.6908018703775,6.25,5068794.626011427,193865476.9328849,513189.61206856964,4969890.728228571,193766573.03510204,191547871817.14285,0.0
