workload_key,scenario,placement,n,serviceable_rate,mean_benefit_network_vs_lake,mean_benefit_network_vs_rerun,mean_repair_source_speedup_vs_lake,mean_break_even_storage_gbps,mean_ft_tax,mean_stalled_request_pct_max,mean_T_network_repair_path,mean_T_data_lake_path,mean_T_request_rerun_path,mean_network_repair_us,mean_data_lake_reload_us,mean_recovery_bytes,network_repair_win_rate
"mmlu::clinical_knowledge,college_computer_science,college_physics,high_school_government_and_politics,high_school_mathematics,international_law,machine_learning,medical_genetics,philosophy,professional_law,professional_medicine,world_religions",node1_fail_join,lazarus,216,1.0,194.38380547522468,0.5601919075456432,219.30361654713923,1744.4605861704256,2030.9678142705498,25.0,7183326.897867364,761940638.3149338,1931727.75950514,6851599.138362224,761608910.5554285,757281587200.0,0.2222222222222222
"mmlu::clinical_knowledge,college_computer_science,college_physics,high_school_government_and_politics,high_school_mathematics,international_law,machine_learning,medical_genetics,philosophy,professional_law,professional_medicine,world_religions",node1_fail_join,uniform,57,1.0,160.25725683041838,0.7213512132553846,188.87218045112783,1431.578947368421,264.87250488428515,25.0,4513825.899611808,406304787.141693,1915116.428846896,4170639.2953263153,405961600.5374075,386547056640.0,0.2807017543859649
"mmlu::clinical_knowledge,college_computer_science,college_physics,high_school_government_and_politics,high_school_mathematics,international_law,machine_learning,medical_genetics,philosophy,professional_law,professional_medicine,world_religions",rank4_fail_join,lazarus,216,1.0,58.516580908149564,0.17599795164549406,61.00373691716604,485.2569982047298,1565.0142475523478,6.25,5815997.7283658935,178566956.35937542,491891.24943256,5724106.478933333,178475065.10994285,177461002240.0,0.0
"mmlu::clinical_knowledge,college_computer_science,college_physics,high_school_government_and_politics,high_school_mathematics,international_law,machine_learning,medical_genetics,philosophy,professional_law,professional_medicine,world_religions",rank4_fail_join,uniform,216,1.0,85.81597688469354,0.21398783120476086,90.7936507936508,722.2222222222222,3679.445067088954,6.25,4819900.219663604,194473384.67589214,495436.19406360475,4724464.0256,194377948.48182854,193273528320.0,0.0
"mmlu::college_computer_science,high_school_government_and_politics,machine_learning,philosophy,professional_law,professional_medicine",node1_fail_join,lazarus,8,1.0,54.23552823568475,0.33796175851692417,57.70279329837579,377.4949094286266,1133.5029365451505,25.0,13256139.866395772,709715907.0101773,3878163.116234429,12577976.750161342,709037743.8939428,579820584960.0,0.0
"mmlu::college_computer_science,high_school_government_and_politics,machine_learning,philosophy,professional_law,professional_medicine",node1_fail_join,uniform,8,1.0,57.44144393061439,0.3506311280463422,61.142857142857146,400.0,10727.969296394707,25.0,12268204.989146385,709709537.1838893,3871793.289946385,11596411.6992,709037743.8939428,579820584960.0,0.0
"mmlu::college_computer_science,high_school_government_and_politics,machine_learning,philosophy,professional_law,professional_medicine",rank4_fail_join,lazarus,8,1.0,15.006269477568454,0.09543522405304135,15.285714285714286,100.0,994.3603813745112,6.25,11794840.034788588,177457864.3090743,998428.335588588,11596411.6992,177259435.9734857,144955146240.0,0.0
"mmlu::college_computer_science,high_school_government_and_politics,machine_learning,philosophy,professional_law,professional_medicine",rank4_fail_join,uniform,8,1.0,15.011598625125787,0.09508148488400882,15.285714285714286,100.0,10406.325640968822,6.25,11788943.59740262,177451967.87168834,992531.8982026202,11596411.6992,177259435.9734857,144955146240.0,0.0
