placement,decode_steps_effective,n,ft_tax,system_benefit_vs_lake,repair_source_speedup,T_replica_repair,T_lake,migration_network_us,data_lake_reload_us,stalled_request_pct_max
lazarus,16,80,4000.9066382883516,172.43497881452598,172.63129348340328,6383036.966567339,633113329.4761653,6377414.820962058,633107707.33056,25.0
lazarus,32,80,2033.19349057276,171.49300979580863,171.8597732407457,6426754.769969134,633569358.9501437,6416074.716465378,633558678.89664,25.0
lazarus,36,160,765.1657745652586,170.01917584015828,171.03596212756187,6494652.363607556,634547337.5808367,6464308.25733094,634516993.47456,25.0
uniform,16,40,648.9972203542144,167.73577578575276,168.0,4536692.210120806,432939547.3269208,4529848.32,432932703.4368,25.0
uniform,32,40,338.7519859331369,167.51518555062648,168.0,4542497.512925575,432945352.6297256,4529848.32,432932703.4368,25.0
uniform,36,41,114.79182257368893,165.20112661670126,166.68989547038328,3851940.6665648795,370256797.8917523,3818330.681443902,370223187.90663135,25.0
