placement,capacity,n,ft_tax,system_benefit_vs_lake,repair_source_speedup,T_replica_repair,T_lake,migration_network_us,data_lake_reload_us,stalled_request_pct_max
lazarus,16,80,250.8853795824078,167.01674429844232,168.0,3645384.423886553,346367668.51732653,3623878.656,346346162.74944,25.0
lazarus,24,80,198.72544986443873,166.0631780999287,167.4799618146299,5499754.274099795,519566293.62816,5452704.770099795,519519244.12416,25.0
lazarus,32,80,2693.5835704442766,151.32270389073875,151.4237517212686,8047129.061974053,692697536.1021444,8041918.458709695,692692325.49888,25.0
lazarus,48,80,4421.237278100506,199.56371400154143,199.6592774433743,8606828.703791182,977145865.3403513,8603604.167279828,977142640.80384,25.0
uniform,16,80,250.8853795824078,167.01674429844232,168.0,3645384.423886553,346367668.51732653,3623878.656,346346162.74944,25.0
uniform,24,41,588.9171368395773,166.38890489913507,166.68989547038328,5596741.520490025,539183200.7424774,5586076.367297561,539172535.589285,25.0
