placement,scaleout_gbps,n,ft_tax,system_benefit_vs_lake,repair_source_speedup,T_replica_repair,T_lake,migration_network_us,data_lake_reload_us,stalled_request_pct_max
lazarus,100.0,80,2055.962825707902,45.60279725382945,45.77086606528485,13759376.119143229,633966012.852109,13718456.561114304,633925093.29408,25.0
lazarus,200.0,80,2035.3525735495953,91.20140336442066,91.5417321305697,6879720.357729893,633945585.3712528,6859228.280557152,633925093.29408,25.0
lazarus,400.0,80,1950.9389732493817,182.39690775981967,183.0834642611394,3439907.096091162,633935386.2498926,3429614.1402785755,633925093.29408,25.0
lazarus,800.0,80,1522.17730548475,364.76523191258144,366.1669285222788,1720092.8907873004,633930379.114728,1714807.070139288,633925093.29408,25.0
uniform,100.0,31,361.6796766177777,46.83399415903375,47.04147465437788,9140452.76302088,433825631.44293976,9102559.72087742,433787738.4007963,25.0
uniform,200.0,30,366.7145324325673,89.20009970477717,89.6,4528436.343106126,404089243.8899861,4509715.6608,404070523.20768,25.0
uniform,400.0,30,366.7149569640289,178.39546627601388,179.2,2264220.883256767,404079886.26053673,2254857.8304,404070523.20768,25.0
uniform,800.0,30,366.71594399887675,356.7854615462048,358.4,1132113.460216038,404075207.75269604,1127428.9152,404070523.20768,25.0
