placement,storage_read_gbps,n,ft_tax,system_benefit_vs_lake,repair_source_speedup,T_replica_repair,T_lake,migration_network_us,data_lake_reload_us,stalled_request_pct_max
lazarus,3.5,64,1891.1079194979072,436.1970218101042,437.85905036943416,6449774.115937896,1617175097.8429155,6430526.51302233,1617155850.24,25.0
lazarus,7.0,64,1891.1079194979072,218.10044554576095,218.92952518471708,6449774.115937896,808597172.7229155,6430526.51302233,808577925.12,25.0
lazarus,14.0,64,1891.1079194979072,109.0521574135893,109.46476259235854,6449774.115937896,404308210.1629156,6430526.51302233,404288962.56,25.0
lazarus,25.0,64,1891.1079194979072,61.07091063543378,61.30026705172078,6449774.115937896,226421066.63651556,6430526.51302233,226401819.0336,25.0
lazarus,50.0,64,1891.1079194979072,30.537389958425724,30.65013352586039,6449774.115937896,113220157.11971557,6430526.51302233,113200909.5168,25.0
uniform,3.5,25,360.4719541743009,414.12627988534786,416.0,4541513.796786849,1042591546.0002702,4522600.5626880005,1042572632.7661713,25.0
uniform,7.0,24,366.7149387776852,213.32253200607906,214.28571428571428,4245409.493034833,515413626.58103484,4227858.432,515396075.52,25.0
uniform,14.0,24,366.7149387776852,106.6635233424436,107.14285714285714,4245409.493034833,257715588.82103482,4227858.432,257698037.76,25.0
uniform,25.0,24,366.7149387776852,59.733559530444,60.0,4245409.493034833,144328452.20663485,4227858.432,144310901.1456,25.0
uniform,50.0,24,366.7149387776852,29.869037104626074,30.0,4245409.493034833,72173001.63383484,4227858.432,72155450.5728,25.0
